id,emoji,english,arabic
1,😀,Grinning Face,مبتسما الوجه
2,😃,Grinning Face With Big Eyes,مبتسما الوجه مع عيون كبيرة
3,😄,Grinning Face With Smiling Eyes,مبتسما الوجه المبتسم مع عيون
4,😁,Beaming Face With Smiling Eyes,مبتهجا الوجه المبتسم مع عيون
5,😆,Grinning Squinting Face,مبتسما التحديق الوجه
6,😅,Grinning Face With Sweat,مبتسما الوجه وعرق
7,🤣,Rolling on the Floor Laughing,يتدحرج على الارض من الضحك
8,😂,Face With Tears of Joy,وجه مع دموع الفرح
9,🙂,Slightly Smiling Face,يبتسم قليلا الوجه
10,🙃,Upside-Down Face,الوجه رأسا على عقب
11,😉,Winking Face,الغمز الوجه
12,😊,Smiling Face With Smiling Eyes,الوجه المبتسم مع يبتسم عيون
13,😇,Smiling Face With Halo,الوجه المبتسم مع هالة
14,🥰,Smiling Face With Hearts,الوجه المبتسم مع قلوب
15,😍,Smiling Face With Heart-Eyes,الوجه المبتسم مع قلب عيون
16,🤩,Star-Struck,ضربها نجوم
17,😘,Face Blowing a Kiss,مواجهة تهب قبلة
18,😗,Kissing Face,تقبيل الوجه
19,☺,Smiling Face,الوجه المبتسم
20,😚,Kissing Face With Closed Eyes,تقبيل الوجه مع عيون مغلقة
21,😙,Kissing Face With Smiling Eyes,تقبيل الوجه المبتسم مع عيون
22,😋,Face Savoring Food,وجه يتذوق الطعام
23,😛,Face With Tongue,وجه مع اللسان
24,😜,Winking Face With Tongue,الغمز الوجه واللسان
25,🤪,Zany Face,وجه مهرج
26,😝,Squinting Face With Tongue,التحديق الوجه واللسان
27,🤑,Money-Mouth Face,المال الفم الوجه
28,🤗,Hugging Face,تعانق وجه
29,🤭,Face With Hand Over Mouth,وجه مع تسليم الفم
30,🤫,Shushing Face,Shushing الوجه
31,🤔,Thinking Face,التفكير الوجه
32,🤐,Zipper-Mouth Face,الوجه زيبر القلاعية
33,🤨,Face With Raised Eyebrow,مواجهة مع الحاجبين
34,😐,Neutral Face,وجه محايد
35,😑,Expressionless Face,الوجه التعابير
36,😶,Face Without Mouth,وجه بدون فم
37,😏,Smirking Face,سميركينج الوجه
